Miltal,Modellår,Biltyp,Drivning,Hästkrafter,Färg,Märke,Modell,Län,Pris (Y),,,
6544,2019,halvkombi,2,184,svart,bmw,i3s,stockholm,221900,,,
2834,2020,halvkombi,2,170,vit,bmw,i3,stockholm,219900,,,
6391,2019,halvkombi,2,170,svart,bmw,i3,stockholm,203900,,,
5789,2019,halvkombi,2,184,brun,bmw,i3s,stockholm,219900,,,
4690,2020,halvkombi,2,184,vit,bmw,i3s,stockholm,224900,,,
6946,2018,halvkombi,2,184,röd,bmw,i3s,stockholm,183900,,,
5881,2019,halvkombi,2,184,röd,bmw,i3s,stockholm,235900,,,
1479,2022,halvkombi,2,170,vit,bmw,i3,stockholm,261900,,,
4595,2020,halvkombi,2,184,grå,bmw,i3,stockholm,244900,,,
5921,2018,halvkombi,2,184,blå,bmw,i3s,stockholm,219800,,,
2018,2022,halvkombi,2,184,blå,bmw,i3s,stockholm,292900,,,
2189,2022,halvkombi,2,184,grå,bmw,i3,stockholm,272900,,,
5502,2017,halvkombi,2,170,svart,bmw,i3,göteborg,204800,,,
9096,2015,halvkombi,2,170,vit,bmw,i3,malmö,149800,,,
3190,2023,halvkombi,2,340,vit,bmw,i4,jönköping,599800,,,
2990,2020,halvkombi,2,170,vit,bmw,i3,jönköping,224900,,,
1449,2023,suv,4,272,svart,bmw,iX1,kalmar,589900,,,
2778,2022,suv,4,327,grå,bmw,iX,kalmar,759900,,,
3150,2021,suv,2,286,silver,bmw,iX3,kalmar,559900,,,
3133,2020,halvkombi,2,170,vit,bmw,i3,stockholm,228900,,,
6224,2018,halvkombi,2,184,svart,bmw,i3s,malmö,209800,,,
1700,2021,halvkombi,2,184,vit,bmw,i3s,nyköping,309900,,,
9668,2018,halvkombi,2,170,blå,bmw,i3,örnsköldsvik,179900,,,
750,2024,suv,4,272,svart,bmw,iX1,kalmar,699800,,,
890,2024,suv,4,306,grå,bmw,iX2,karlskrona,719800,,,
3940,2020,halvkombi,2,170,vit,bmw,i3,jönköping,219900,,,
12220,2020,suv,2,286,vit,bmw,iX3,jönköping,439900,,,
3865,2022,suv,4,327,svart,bmw,iX,kalmar,649800,,,
6500,2022,suv,4,327,vit,bmw,iX,kalmar,629800,,,
3555,2018,halvkombi,2,170,röd,bmw,i3,västerås,208900,,,
5918,2021,halvkombi,2,184,vit,bmw,i3s,stockholm,234900,,,
2696,2021,halvkombi,2,184,vit,bmw,i3s,vimmerby,369900,,,
2231,2021,halvkombi,2,184,grå,bmw,i3s,skövde,329900,,,
2082,2021,halvkombi,2,184,vit,bmw,i3s,kalmar,289800,,,
4545,2022,suv,4,327,grå,bmw,iX,karlskrona,697000,,,
2651,2022,halvkombi,2,170,svart,bmw,i3,llinköping,288900,,,
775,2024,halvkombi,2,340,grön,bmw,i4,skövde,678900,,,
